🕘️更新时间,#genre#
2025-09-18 06:37:43,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8$订阅源

📺央视咪咕频道,#genre#
CCTV-03咪咕,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8$订阅源
CCTV-03咪咕,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8$订阅源
CCTV-04咪咕,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8$订阅源
CCTV-05咪咕,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8$订阅源
CCTV-06咪咕,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8$订阅源
CCTV-06咪咕,https://iptv.catvod.com/catvod_com.php?id=cctv6&token=2b5f5ceb9315042e63c4e40ddc80a342310111550b3913a6ec798f95940bf6e9%3A1757903967$IPV4•线路27
CCTV-06咪咕,https://iptv.catvod.com/catvod_com.php?id=cctv6&token=2b5f5ceb9315042e63c4e40ddc80a342310111550b3913a6ec798f95940bf6e9%3A1757903967$IPV4•线路27
CCTV-07咪咕,https://zby.130519.xyz/PLTV/11/224/3221225701/index.m3u8$订阅源
CCTV-08咪咕,https://zby.130519.xyz/PLTV/11/224/3221225736/index.m3u8$订阅源
CCTV-10咪咕,https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8$订阅源
CCTV-10咪咕,http://218.17.33.178:53290/tsfile/live/1010_1.m3u8?key=txiptv$订阅源
CCTV-10咪咕,http://218.17.33.178:53290/tsfile/live/1010_1.m3u8?key=txiptv$订阅源
CCTV-10咪咕,http://ygbh.site/php/bfgd.php?id=129$订阅源
CCTV-10咪咕,http://ygbh.site/php/bfgd.php?id=129$订阅源
CCTV-11咪咕,https://zby.130519.xyz/PLTV/11/224/3221226101/index.m3u8$订阅源
CCTV-11咪咕,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】$IPV4•线路39
CCTV-11咪咕,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】$IPV4•线路39
CCTV-11咪咕,http://sh.lnott.top:880/dx11.m3u8$订阅源
CCTV-11咪咕,http://sh.lnott.top:880/dx11.m3u8$订阅源
CCTV-11咪咕,http://ygbh.site/php/bfgd.php?id=130$订阅源
CCTV-12咪咕,https://zby.130519.xyz/PLTV/11/224/3221226103/index.m3u8$订阅源
CCTV-12咪咕,http://sh.lnott.top:880/dx12.m3u8$订阅源
CCTV-12咪咕,http://ygbh.site/php/bfgd.php?id=131$订阅源
CCTV-13咪咕,https://zby.130519.xyz/PLTV/11/224/3221226128/index.m3u8$订阅源
CCTV-13咪咕,http://php.cqshushu.ggff.net/jzb.php?id=cctv13&公众号【医工学习日志】$IPV4•线路42
CCTV-13咪咕,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13咪咕,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13咪咕,http://sh.lnott.top:880/dx13.m3u8$订阅源
CCTV-14咪咕,https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8$订阅源
CCTV-14咪咕,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】$IPV4•线路39
CCTV-14咪咕,http://sh.lnott.top:880/dx14.m3u8$订阅源
CCTV-14咪咕,http://ygbh.site/php/bfgd.php?id=132$订阅源
CCTV-15咪咕,https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8$订阅源
CCTV-15咪咕,http://sh.lnott.top:880/dx15.m3u8$订阅源
CCTV-15咪咕,http://ygbh.site/php/bfgd.php?id=133$订阅源
CCTV-16咪咕,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8$订阅源
CCTV-17咪咕,http://php.cqshushu.ggff.net/jzb.php?id=cctv17&公众号【医工学习日志】$IPV4•线路32
CCTV-17咪咕,http://sh.lnott.top:880/dx17.m3u8$订阅源

📺央视频道,#genre#
CCTV-3,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8$订阅源
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.63:11111$订阅源
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.63:11111$订阅源
CCTV-4,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8$订阅源
CCTV-4,http://ms.fxim.net:808/hls/4/index.m3u8$订阅源
CCTV-4,http://ms.fxim.net:808/hls/4/index.m3u8$订阅源
CCTV-4,https://iptv.catvod.com/catvod_com.php?id=cctv4&token=905598d3e5322d30fbbc7d25b73d9b154cb188795262f6f007e337558657a944%3A1757801713$订阅源
CCTV-4,http://qjrhc.jydjd.top:2911/udp/224.1.100.103:11111$订阅源
CCTV-5,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源
CCTV-5,http://vallest.uk/livehttpplay?channel_id=10107$订阅源
CCTV-5,http://vallest.uk/livehttpplay?channel_id=10107$订阅源
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.81:11111$订阅源
CCTV-5+,http://php.cqshushu.ggff.net/jzb.php?id=cctv5plus&公众号【医工学习日志】$订阅源
CCTV-5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv$订阅源
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111$订阅源
CCTV-5+,http://ygbh.site/php/bfgd.php?id=246$订阅源
CCTV-6,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8$订阅源
CCTV-6,https://iptv.catvod.com/catvod_com.php?id=cctv6&token=d5f11484214adde7c7b0f655fb67f869b35ed3630fa65e83492be7a27dd163b5%3A1757629015$订阅源
CCTV-6,http://qjrhc.jydjd.top:2911/udp/224.1.100.83:11111$订阅源
CCTV-7,https://zby.130519.xyz/PLTV/11/224/3221225701/index.m3u8$订阅源
CCTV-7,http://ms.fxim.net:808/hls/7/index.m3u8$订阅源
CCTV-7,http://qjrhc.jydjd.top:2911/udp/224.1.100.28:11111$订阅源
CCTV-8,https://zby.130519.xyz/PLTV/11/224/3221225736/index.m3u8$订阅源
CCTV-8,http://ms.fxim.net:808/hls/8/index.m3u8$订阅源
CCTV-8,http://qjrhc.jydjd.top:2911/udp/224.1.100.85:11111$订阅源
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://ms.fxim.net:808/hls/9/index.m3u8$订阅源
CCTV-9,http://vallest.uk/livehttpplay?channel_id=30005$订阅源
CCTV-9,http://qjrhc.jydjd.top:2911/udp/224.1.100.30:11111$订阅源
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8$订阅源
CCTV-10,http://ms.fxim.net:808/hls/10/index.m3u8$订阅源
CCTV-10,http://218.17.33.178:53290/tsfile/live/1010_1.m3u8?key=txiptv$订阅源
CCTV-10,http://vallest.uk/livehttpplay?channel_id=30006$订阅源
CCTV-10,http://qjrhc.jydjd.top:2911/udp/224.1.100.75:11111$订阅源
CCTV-10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,http://ygbh.site/php/bfgd.php?id=129$订阅源
CCTV-11,https://zby.130519.xyz/PLTV/11/224/3221226101/index.m3u8$订阅源
CCTV-11,http://ms.fxim.net:808/hls/11/index.m3u8$订阅源
CCTV-11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】$订阅源
CCTV-11,http://sh.lnott.top:880/dx11.m3u8$订阅源
CCTV-11,http://qjrhc.jydjd.top:2911/udp/224.1.100.43:11111$订阅源
CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-11,http://ygbh.site/php/bfgd.php?id=130$订阅源
CCTV-12,https://zby.130519.xyz/PLTV/11/224/3221226103/index.m3u8$订阅源
